K,time,iat,time_speedup_vs_rwmh,iat_reduction_vs_rwmh
1 (RWMH),0.8678293228149414,10.0,1.0,1.0
2,34.369473457336426,6.0,0.025250003433779596,1.6666666666666667
4,27.15001630783081,5.0,0.031964228417963626,2.0
8,50.54828500747681,5.0,0.01716832376581277,2.0
