k,method,time,iat,time_speedup,iat_reduction
1,RWMH,0.8839554786682129,10.0,1.0,1.0
2,MTM-K2,5.794442653656006,6.0,0.1525522869935525,1.6666666666666667
4,MTM-K4,9.24682331085205,5.0,0.09559558444582852,2.0
8,MTM-K8,15.91135048866272,5.0,0.055555025281986956,2.0
