method,price,error,std_error,time,iat,ess,acceptance_rate
MonteCarlo,10.44616423360689,0.004419338578674825,0.06567765287109067,0.0,-,-,-
MCMC-RWMH,10.464263117730077,0.01367954554451245,-,2.15425181388855,8.0,6250.0,0.59266
