method,price,error,acceptance_rate,time,iat,ess
RWMH,10.759077745844793,0.3084941736592288,0.5921,0.8839554786682129,10.0,2000.0
MTM-K2,10.274955401319788,0.1756281708657763,0.7215,5.794442653656006,6.0,3333.3333333333335
MTM-K4,10.357254506877592,0.09332906530797302,0.80395,9.24682331085205,5.0,4000.0
MTM-K8,10.574052295185146,0.123468722999581,0.84975,15.91135048866272,5.0,4000.0
